Revised Common Lectionary
Scripture Citations for Year B - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2026-27/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Fifth Sunday of Easter","Apr 25, 2027","* Acts 8:26-40","Psalm 22:25-31","1 John 4:7-21","John 15:1-8",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast05,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter6
"Sixth Sunday of Easter","May 02, 2027","* Acts 10:44-48","Psalm 98","1 John 5:1-6","John 15:9-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast06,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter7
"Ascension of the Lord","May 06, 2027","* Acts 1:1-11","Psalm 47 or Psalm 93","Ephesians 1:15-23","Luke 24:44-53",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAscn,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter8
"Seventh Sunday of Easter","May 09, 2027","* Acts 1:15-17, 21-26","Psalm 1","1 John 5:9-13","John 17:6-19",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BEast07,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter9
"Day of Pentecost","May 16, 2027","* Acts 2:1-21 or Ezekiel 37:1-14","Psalm 104:24-34, 35b","Romans 8:22-27 or Acts 2:1-21","John 15:26-27; 16:4b-15",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BPDay,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=easter&d=easter10
"Trinity Sunday","May 23, 2027","Isaiah 6:1-8 Psalm 29","","Romans 8:12-17","John 3:1-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BTrin,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=pentecost1
"Proper 4 (9)","May 30, 2027","1 Samuel 3:1-10, (11-20) Psalm 139:1-6, 13-18","Deuteronomy 5:12-15 Psalm 81:1-10","2 Corinthians 4:5-12","Mark 2:23-3:6",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp04,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_4
"Visitation of Mary to Elizabeth","May 31, 2027","1 Samuel 2:1-10 Psalm 113","","Romans 12:9-16b","Luke 1:39-57",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BVis,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=visitation_of_mary_to_elizabeth_e
"Proper 5 (10)","Jun 06, 2027","1 Samuel 8:4-11, (12-15), 16-20, (11:14-15) Psalm 138","Genesis 3:8-15 Psalm 130","2 Corinthians 4:13-5:1","Mark 3:20-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp05,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_5
"Proper 6 (11)","Jun 13, 2027","1 Samuel 15:34 &#8211; 16:13 Psalm 20","Ezekiel 17:22-24 Psalm 92:1-4, 12-15","2 Corinthians 5:6-10, (11-13), 14-17","Mark 4:26-34",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp06,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_6
