Revised Common Lectionary
Scripture Citations for Year A - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2025-26/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Proper 11 (16)","Jul 19, 2026","Genesis 28:10-19a Psalm 139:1-12, 23-24","Wisdom of Solomon 12:13, 16-19 or Isaiah 44:6-8 Psalm 86:11-17","Romans 8:12-25","Matthew 13:24-30, 36-43",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp11,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_11
"Proper 12 (17)","Jul 26, 2026","Genesis 29:15-28 Psalm 105:1-11, 45b or Psalm 128","1 Kings 3:5-12 Psalm 119:129-136","Romans 8:26-39","Matthew 13:31-33, 44-52",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp12,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_12
"Proper 13 (18)","Aug 02, 2026","Genesis 32:22-31 Psalm 17:1-7, 15","Isaiah 55:1-5 Psalm 145:8-9, 14-21","Romans 9:1-5","Matthew 14:13-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp13,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_13
"Proper 14 (19)","Aug 09, 2026","Genesis 37:1-4, 12-28 Psalm 105: 1-6, 16-22, 45b","1 Kings 19:9-18 Psalm 85:8-13","Romans 10:5-15","Matthew 14:22-33",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp14,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_14
"Proper 15 (20)","Aug 16, 2026","Genesis 45:1-15 Psalm 133","Isaiah 56:1, 6-8 Psalm 67","Romans 11:1-2a, 29-32","Matthew 15: (10-20), 21-28",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp15,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_15
"Proper 16 (21)","Aug 23, 2026","Exodus 1:8-2:10 Psalm 124","Isaiah 51:1-6 Psalm 138","Romans 12:1-8","Matthew 16:13-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp16,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_16
"Proper 17 (22)","Aug 30, 2026","Exodus 3:1-15 Psalm 105:1-6, 23-26, 45b","Jeremiah 15:15-21 Psalm 26:1-8","Romans 12:9-21","Matthew 16:21-28",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp17,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_17
"Proper 18 (23)","Sep 06, 2026","Exodus 12:1-14 Psalm 149","Ezekiel 33:7-11 Psalm 119:33-40","Romans 13:8-14","Matthew 18:15-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp18,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_18
"Proper 19 (24)","Sep 13, 2026","Exodus 14:19-31 Psalm 114 or Exodus 15:1b-11, 20-21","Genesis 50:15-21 Psalm 103:(1-7), 8-13","Romans 14:1-12","Matthew 18:21-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp19,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_19
"Holy Cross","Sep 14, 2026","Numbers 21:4b-9 Psalm 98:1-5 or Psalm 78:1-2, 34-38","","1 Corinthians 1:18-24","John 3:13-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoCr,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=holy_cross_a
"Proper 20 (25)","Sep 20, 2026","Exodus 16:2-15 Psalm 105:1-6, 37-45","Jonah 3:10-4:11 Psalm 145:1-8","Philippians 1:21-30","Matthew 20:1-16",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp20,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_20
"Proper 21 (26)","Sep 27, 2026","Exodus 17:1-7 Psalm 78:1-4, 12-16","Ezekiel 18:1-4, 25-32 Psalm 25:1-9","Philippians 2:1-13","Matthew 21:23-32",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp21,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_21
"Proper 22 (27)","Oct 04, 2026","Exodus 20:1-4, 7-9, 12-20 Psalm 19","Isaiah 5:1-7 Psalm 80:7-15","Philippians 3:4b-14","Matthew 21:33-46",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp22,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_22
"Proper 23 (28)","Oct 11, 2026","Exodus 32:1-14 Psalm 106:1-6, 19-23","Isaiah 25:1-9 Psalm 23","Philippians 4:1-9","Matthew 22:1-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp23,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_23
"Canadian Thanksgiving Day","Oct 12, 2026","Deuteronomy 8:7-18 Psalm 65","","2 Corinthians 9:6-15","Luke 17:11-19",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ATDay,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=canadian_thanksgiving_day
"Proper 24 (29)","Oct 18, 2026","Exodus 33:12-23 Psalm 99","Isaiah 45:1-7 Psalm 96:1-9, (10-13)","1 Thessalonians 1:1-10","Matthew 22:15-22",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp24,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_24
"Proper 25 (30)","Oct 25, 2026","Deuteronomy 34:1-12 Psalm 90:1-6, 13-17","Leviticus 19:1-2, 15-18 Psalm 1","1 Thessalonians 2:1-8","Matthew 22:34-46",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp25,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_25
"All Saints Day","Nov 01, 2026","Revelation 7:9-17 Psalm 34:1-10, 22","","1 John 3:1-3","Matthew 5:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAllS,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=all_saints_day
"Proper 26 (31)","Nov 01, 2026","Joshua 3:7-17 Psalm 107:1-7, 33-37","Micah 3:5-12 Psalm 43","1 Thessalonians 2:9-13","Matthew 23:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp26,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_26
"Proper 27 (32)","Nov 08, 2026","Joshua 24:1-3a, 14-25 Psalm 78:1-7","Wisdom of Solomon 6:12-16 or Amos 5:18-24 Wisdom of Solomon 6:17-20 or Psalm 70","1 Thessalonians 4:13-18","Matthew 25:1-13",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AProp27,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=season_after_pentecost&d=proper_27
