Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Easter Evening","Apr 20, 2025","* Isaiah 25:6-9","Psalm 114","1 Corinthians 5:6b-8","Luke 24:13-49",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CRess,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter2
"Second Sunday of Easter","Apr 27, 2025","* Acts 5:27-32","Psalm 118:14-29 or Psalm 150","Revelation 1:4-8","John 20:19-31",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter3
"Third Sunday of Easter","May 04, 2025","* Acts 9:1-6, (7-20)","Psalm 30","Revelation 5:11-14","John 21:1-19",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast03,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter4
"Fourth Sunday of Easter","May 11, 2025","* Acts 9:36-43","Psalm 23","Revelation 7:9-17","John 10:22-30",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast04,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter5
"Fifth Sunday of Easter","May 18, 2025","* Acts 11:1-18","Psalm 148","Revelation 21:1-6","John 13:31-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast05,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter6
"Sixth Sunday of Easter","May 25, 2025","* Acts 16:9-15","Psalm 67","Revelation 21:10, 22-22:5","John 14:23-29 or John 5:1-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast06,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter7
"Ascension of the Lord","May 29, 2025","* Acts 1:1-11","Psalm 47 or Psalm 93","Ephesians 1:15-23","Luke 24:44-53",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAscn,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter8
"Visitation of Mary to Elizabeth","May 31, 2025","* 1 Samuel 2:1-10","Psalm 113","Romans 12:9-16b","Luke 1:39-57",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CVis,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=visitation_of_mary_to_elizabeth_c
"Seventh Sunday of Easter","Jun 01, 2025","* Acts 16:16-34","Psalm 97","Revelation 22:12-14, 16-17, 20-21","John 17:20-26",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEast07,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter9
"Day of Pentecost","Jun 08, 2025","* Acts 2:1-21 or Genesis 11:1-9","Psalm 104:24-34, 35b","Romans 8:14-17 or Acts 2:1-21","John 14:8-17, (25-27)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CPDay,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=easter&d=easter10
